Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
1950-1955,0.0521613151425,0.00645311301853,0.0044445942454,0.00491813111018,0.00677926661366,0.00757852597945,0.00794988754125,0.00899279691226,0.0107125732758,0.0131696077433,0.0168196361945,0.0224050306965,0.0315752584545,0.046976353853,0.0718995658806,0.110999237223,0.200919904837
1955-1960,0.0450945917852,0.00573910615768,0.00401661487214,0.00455567262778,0.00630558691522,0.00703877221325,0.00738239927977,0.00837698637366,0.00995570500178,0.0123200249686,0.0158762126001,0.0212404915155,0.0301421508035,0.0449992582074,0.069094021596,0.106944698494,0.192941176471
1960-1965,0.0406201767574,0.00505915900849,0.00366258033382,0.00424757281553,0.00586097969716,0.00653822695799,0.00686121968806,0.00777331342745,0.00928544598226,0.0115256002631,0.0149743191486,0.0201588030711,0.0287499654381,0.0431900838714,0.0664224391062,0.103118208925,0.188743664977
1965-1970,0.0368181408588,0.00456119003276,0.00334757638261,0.00390495845901,0.00550274814096,0.00612910264003,0.00643540226932,0.00729701998374,0.00870724969039,0.0109205460273,0.0142185681239,0.0192356071601,0.0276065192372,0.0416145988297,0.0642270496185,0.0999151679674,0.185625
1970-1975,0.0335678512768,0.0041499033943,0.00305052534265,0.00367604024876,0.0051255730143,0.0057242594823,0.00601111997837,0.0068171099227,0.0081508624542,0.0102521368003,0.0135356015896,0.0183000846331,0.0264224669555,0.0400689218444,0.0619944586439,0.0967723132969,0.182028716999
1975-1980,0.0294248823808,0.00365882511521,0.00269705802464,0.00334103943449,0.00470011061136,0.00525336356442,0.00552480375746,0.00625556497396,0.00748690265563,0.00950364667747,0.0126161548324,0.0172798094865,0.0249665431571,0.0381281235802,0.0592719649323,0.0927812011111,0.177863889562
1980-1985,0.0239393540172,0.00297597547608,0.00220713722669,0.00295151626846,0.00430232225999,0.00487920545481,0.00524669359309,0.00599748167759,0.00703107837917,0.00879309721067,0.0116453899184,0.0157732074253,0.0231071589664,0.0352719017207,0.055240751374,0.087565308255,0.16974459725
1985-1990,0.0207819478623,0.00233887383652,0.00185413150247,0.00271285287139,0.00471280953808,0.00656150120927,0.00825012812451,0.00988394347029,0.0107100117042,0.0117551520723,0.0138860044934,0.0168771553201,0.0232427770591,0.0348932873402,0.0535407866082,0.0841423055709,0.164288971403
1990-1995,0.0198417780956,0.00184702703226,0.00145071642606,0.00251656225189,0.00552398839808,0.0110552616252,0.0170976545383,0.0220160338745,0.0232807290509,0.022568930246,0.0228728503678,0.0228652806065,0.0271464160053,0.0373562202869,0.05520483546,0.0833769366361,0.158928954711
1995-2000,0.0219314093359,0.00210585895101,0.00161707894134,0.00249474992029,0.00602684035744,0.0145873754977,0.0274733637747,0.0381159503234,0.0407244831482,0.0390436763556,0.036816772221,0.0325712194657,0.0341183708626,0.0429396782009,0.0601686809843,0.087980809555,0.160872727273
2000-2005,0.0240517217751,0.00273756467862,0.00227772757167,0.00264019332012,0.00546598960255,0.0131519674277,0.0292647762996,0.0452252821126,0.0510309701007,0.0492782690994,0.0461719874452,0.0380139376564,0.0378509876065,0.0458101915081,0.0629846185189,0.091309222539,0.167080575032
2005-2010,0.0211602163073,0.00261632143939,0.00245836854041,0.00282996612056,0.00434773703292,0.00854730121004,0.018447402574,0.0321451903313,0.0400416986973,0.0406430117763,0.0378733847461,0.032086059759,0.0327229777264,0.0409688007053,0.0577330560675,0.0855620687097,0.165111620962
2010-2015,0.0164633964251,0.00207574486045,0.00206568437026,0.00273125810449,0.00381922509312,0.00548289458023,0.00897754030827,0.014329009392,0.0187943982896,0.0211679380304,0.0218811104645,0.0216544978584,0.0251483118088,0.0347356469975,0.0515707173082,0.0796183482155,0.160761791597
2015-2020,0.0140797241523,0.00169474472628,0.00166067502666,0.00247551054856,0.00355315086251,0.00453781652877,0.00626606455019,0.0091128181206,0.01206710024,0.014834349221,0.0174334169247,0.0194740165461,0.0237406390995,0.0327512556584,0.0493551813078,0.0767270150119,0.157614528062
2020-2025,0.0127241103488,0.00142169960435,0.0013655909082,0.00221519560219,0.00337194995675,0.00433686014479,0.00586918763158,0.00826062756091,0.0107255367359,0.0136614372995,0.017179433312,0.0202705813487,0.024919257348,0.0335639040107,0.0489322215542,0.0759506160018,0.156509000149
2025-2030,0.0116398067743,0.00124012008677,0.00115136695421,0.00195069305317,0.00306483316705,0.00391623658054,0.00514211855284,0.00695251985286,0.00877182017997,0.0111774821352,0.0146774500384,0.0186609951877,0.0243951998822,0.0334888196289,0.0486368849807,0.0745219000617,0.156865710561
