Period,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
1950-1955,0.0463323058824,0.00636883095756,0.00444007664901,0.00437362554679,0.00535134797803,0.0062286677724,0.00716890192791,0.00819714338258,0.00919347205472,0.0104315650905,0.0129786840428,0.0177340382666,0.0261331402016,0.0404601251931,0.0633158105075,0.0982384091646,0.180487804878
1955-1960,0.0398629327236,0.00558777924539,0.0039449048456,0.00396530799515,0.00489469729422,0.00571334253888,0.00654821661963,0.00753170008395,0.00851134718147,0.00976243147062,0.0122455515679,0.0167809243241,0.0248185284181,0.0386808827176,0.0607323825942,0.0947885402456,0.173745060735
1960-1965,0.0358992343951,0.0049539205487,0.00354574961133,0.0036297486197,0.00449390412478,0.00525268199303,0.00601236514731,0.00692099433916,0.00791506889842,0.00915456553409,0.0115716197219,0.01591403507,0.0236282578875,0.0370095054328,0.0584409438172,0.0916419047619,0.171498342927
1965-1970,0.0323348841207,0.00443609052776,0.0031858857624,0.00329631294002,0.00415301924389,0.00485439037705,0.00554879569519,0.00641122748365,0.00737872874986,0.00864614539942,0.0109574664227,0.015127729932,0.0225702811245,0.0355151601221,0.0563456740844,0.0888152551733,0.168975960628
1970-1975,0.029279272722,0.00394898641928,0.00285551207229,0.00302616545455,0.0038021504617,0.00447311188781,0.00509319719815,0.00590011063695,0.00685950676793,0.00810410929316,0.0104055781962,0.0143170485508,0.0214645053102,0.0340122225796,0.0542300582966,0.0859807768868,0.166014660343
1975-1980,0.0255443609447,0.00338742884133,0.00246890566585,0.00267562260109,0.00340850535519,0.00400505301698,0.00457019094175,0.00530179929901,0.00624174869232,0.00748454748791,0.00966017695063,0.0134360712863,0.0200919325828,0.0321137745154,0.0516450839329,0.0824622473767,0.1625942785
1980-1985,0.0204201214625,0.0026374917766,0.00195804654655,0.00223294963978,0.00292753997748,0.0034746909921,0.00390345399586,0.00456890291238,0.00544224555735,0.00662716566616,0.00865540988215,0.0119984266739,0.0182779268444,0.0292858420998,0.0477692931666,0.0774755743332,0.156203397432
1985-1990,0.0176849193814,0.00196542710449,0.00156991797593,0.00202811163327,0.00320998724647,0.00428372857677,0.00499428780976,0.00572211201965,0.00643199596265,0.00737874759329,0.00915641843924,0.0118940953938,0.0172880194904,0.0276778949941,0.0448373727363,0.0734939080481,0.151866224511
1990-1995,0.017808644357,0.00160219626904,0.00123194029246,0.00210279320978,0.00470233019198,0.00873131583549,0.0115763806023,0.0132128395871,0.0134869729261,0.0134204886126,0.0144211783253,0.0155445794495,0.0193388852571,0.0281283787216,0.044600064372,0.0714868506225,0.147926103911
1995-2000,0.0194481010625,0.00180326291306,0.00132554281925,0.0021952725959,0.00597445954559,0.0148407675387,0.0236611821138,0.0280739313736,0.0272773675435,0.0255401933901,0.0250085504136,0.0234783444108,0.025095803845,0.0320853244323,0.0472674756512,0.0735900673401,0.146094012043
2000-2005,0.0211796459305,0.00241336736859,0.00198559220418,0.00224777865363,0.005655241168,0.0154791213784,0.0305714154358,0.0401190951743,0.0393119609359,0.0351737355472,0.0330698781378,0.0289433637399,0.0296036605273,0.0360239293609,0.0508432941856,0.0766535091942,0.151606183533
2005-2010,0.0183868442112,0.00226934331674,0.00216134633817,0.00223383911704,0.00422374421712,0.00987448539325,0.0215856788254,0.032946798127,0.0352193251231,0.0313425830864,0.0279015791494,0.0244047478585,0.025864313612,0.033174671182,0.0481457284501,0.0740797512427,0.151457410143
2010-2015,0.013875857076,0.0017183608706,0.00174603316059,0.00207648675342,0.00312586191045,0.00544900575047,0.00946992793439,0.0144985417194,0.0172978079165,0.0171507532608,0.0163506769634,0.0161140574784,0.0192640692641,0.0279658314351,0.0435009806768,0.0698793199153,0.148747413376
2015-2020,0.0110717631291,0.00132273838525,0.00134488955436,0.00178750858781,0.00268381777864,0.0039189770296,0.00561890848194,0.00808555146018,0.0104090130113,0.0118331667424,0.0128266079346,0.0140486262013,0.017712585921,0.0260340109461,0.0417841773351,0.0678540472529,0.147738653207
2020-2025,0.00977422868204,0.00104843229165,0.00104447790268,0.00154248196165,0.00247623442069,0.00367652100613,0.00523501300998,0.00741942137281,0.00962910652241,0.0117460010157,0.01375248942,0.0153082113091,0.0186077769341,0.026311875716,0.0406641831991,0.066393754255,0.145286842793
2025-2030,0.00890938374798,0.000898027538068,0.000845212862544,0.00129877199668,0.00217815160372,0.00321991578411,0.00446596224427,0.00616882637466,0.00788988276024,0.00981420355906,0.0123465844501,0.0149085259387,0.0186432489272,0.0260383409659,0.0397585055757,0.0638200767637,0.143501433659
2030-2035,0.00812785274058,0.0007907153996,0.000734013521344,0.00111418741809,0.00187425018675,0.0027362766929,0.0036977069368,0.00500858424903,0.00639985096317,0.00801654738758,0.0103346424881,0.0133379858859,0.017849030427,0.0255362861038,0.0387864709398,0.0622295261572,0.138874407077
2035-2040,0.0073445578488,0.000693780561927,0.000657215240366,0.000994122547992,0.00162232378403,0.00230213909643,0.0030416087981,0.00407057845934,0.0052501175374,0.00667872237589,0.00870694010805,0.0115031164831,0.0162603520046,0.0244369559254,0.0377697481794,0.0604347379073,0.13351075575
2040-2045,0.00657765809434,0.000604155562675,0.000581522334734,0.000895373057526,0.00142696155136,0.00195064257792,0.00250352830162,0.00332866082954,0.00436174135469,0.00566230870436,0.00749735695134,0.0100227138526,0.0145247865678,0.0226869287916,0.0361912666359,0.0585339733774,0.131008333701
2045-2050,0.00570837970492,0.000503354491955,0.000498262044511,0.000785154725515,0.00124264938172,0.00165398774628,0.00205227339941,0.00270810328334,0.00361747119572,0.00480301327186,0.00647656439585,0.0087722624518,0.0129442901662,0.020619138139,0.0336599928744,0.0553999003546,0.12655621576
